Номер ф-ции; Точка минимума; Знач ф-ции; Кол-во точек; Ист.знач.минимума; Ист.знач.ф-ции; Погрешность по x;Погрешность по f 
367;2.57391;-2.04018;30;2.582;-2.04116;0.00808502;0.000982484
368;5.06106;-2.08928;28;5.057;-2.08944;0.0040624;0.000156749
369;6.34169;-2.92738;22;6.342;-2.92739;0.000307151;1.04182e-05
370;7;-1.29504;49;7.195;-1.8921;0.195;0.59706
371;4.8666;-2.55681;28;4.868;-2.55683;0.00140449;2.33292e-05
372;2.65888;-2.29879;23;2.655;-2.29909;0.00388275;0.00029557
373;4.66554;-1.86313;38;9.389;-2.37655;4.72346;0.513423
374;2.23955;-1.53706;75;8.937;-1.84925;6.69745;0.312188
375;4.87987;-2.33261;38;4.886;-2.33309;0.00613426;0.000476906
376;6.01119;-3.07955;36;6.014;-3.07964;0.00281056;9.48744e-05
377;0.317234;-2.76333;26;0.317;-2.76333;0.000233994;7.01267e-07
378;4.84247;-1.60914;50;7.439;-1.94691;2.59653;0.33777
379;0.409926;-2.58848;27;0.412;-2.58858;0.00207386;9.53105e-05
380;1.56102;-2.50129;28;1.56;-2.50132;0.00102206;2.94427e-05
381;6.2439;-1.9415;32;6.239;-1.9418;0.00489639;0.000299356
382;6.30446;-2.03196;30;6.305;-2.03197;0.000541717;1.474e-05
383;6.49638;-2.1777;23;9.568;-2.71923;3.07162;0.541531
384;4.88241;-2.07268;42;7.536;-3.01591;2.65359;0.943234
385;6.39514;-2.14911;38;6.397;-2.14918;0.00186236;6.53919e-05
386;6.27832;-1.83581;44;8.29;-2.56212;2.01168;0.726314
387;2.8966;-1.90053;28;2.898;-1.90057;0.00140191;4.41788e-05
388;5.6202;-2.41149;22;5.619;-2.41151;0.00120267;2.4032e-05
389;0.0843396;-1.88972;20;0.087;-1.88987;0.00266041;0.000151267
390;6.27592;-2.65123;22;6.276;-2.65125;8.27209e-05;1.50813e-05
391;2.74299;-1.22006;62;9.717;-2.50712;6.97401;1.28706
392;2.28798;-3.11757;28;2.283;-3.11784;0.00497919;0.000274057
393;1.07479;-2.08141;36;1.075;-2.0814;0.000207506;8.29538e-06
394;4.17236;-2.5711;24;4.174;-2.57113;0.00163742;2.90563e-05
395;1.2834;-2.09498;34;1.283;-2.09497;0.000399916;6.09475e-06
396;1.14606;-2.13392;28;1.149;-2.13404;0.00293669;0.000123758
397;2.30816;-2.10629;32;2.308;-2.10629;0.000159262;3.57497e-06
398;6.71846;-2.00412;44;6.724;-2.00418;0.00554424;6.22412e-05
399;1.31065;-1.72906;44;9.809;-1.95721;8.49835;0.228148
400;4.96343;-2.12245;40;4.96;-2.1225;0.00342741;5.00652e-05
401;0.717816;-1.78966;42;0.721;-1.78986;0.00318434;0.000196303
402;6.12099;-2.28903;36;6.118;-2.28921;0.00299118;0.000177842
403;1.40517;-3.0038;26;1.405;-3.0038;0.000172356;4.99473e-06
404;0.297872;-1.87236;36;0.3;-1.8725;0.00212816;0.000137607
405;2.59605;-2.73341;32;2.595;-2.73342;0.0010452;1.15089e-05
406;2.71996;-2.04589;44;2.719;-2.04591;0.000955003;2.32039e-05
407;0.217673;-3.3285;26;0.213;-3.3288;0.0046732;0.000296582
408;6.43404;-1.88015;40;8.506;-2.13354;2.07196;0.253395
409;3.64592;-2.02544;32;3.648;-2.02555;0.00208068;0.000114293
410;2.58217;-1.45041;42;8.784;-1.61276;6.20183;0.162347
411;1.93855;-1.50113;41;1.938;-1.50115;0.000548646;1.74314e-05
412;0.815533;-1.87034;29;0.815;-1.87034;0.000533375;4.4296e-06
413;5.07128;-2.05105;24;5.072;-2.05106;0.000720133;7.04082e-06
414;0.82211;-1.42771;53;8.287;-2.60908;7.46489;1.18137
415;2.32291;-1.81294;26;2.317;-1.81365;0.00591234;0.00070986
416;6.62313;-2.30059;27;6.619;-2.30089;0.00412903;0.000295151
417;0.835799;-2.85475;34;0.834;-2.8548;0.00179917;4.98069e-05
418;1.78645;-1.46818;46;8.425;-1.79115;6.63855;0.32297
419;0.510501;-1.92587;26;0.513;-1.92593;0.00249868;5.70341e-05
420;5.974;-1.86963;34;5.975;-1.86965;0.000998016;2.04477e-05
421;6.88468;-1.43345;36;6.883;-1.43347;0.00167976;1.51368e-05
422;7;-1.22541;40;8.928;-2.18314;1.928;0.95773
423;0.878303;-1.42991;32;8.982;-2.08894;8.1037;0.65903
424;2.81088;-3.00385;26;2.81;-3.00385;0.000877524;1.91636e-07
425;6.96942;-2.03514;30;6.968;-2.03516;0.0014177;1.73488e-05
426;5.09327;-2.56575;28;5.099;-2.56611;0.00572856;0.000364168
427;6.9008;-2.15287;31;8.696;-2.94939;1.7952;0.796516
428;6.03409;-2.52226;30;6.031;-2.52246;0.00309189;0.000197111
429;7;-1.76275;24;7.349;-2.75787;0.349;0.995121
430;6.90793;-1.19432;50;7.972;-3.75906;1.06407;2.56474
431;4.17899;-2.38087;28;4.179;-2.38087;8.65484e-06;3.06269e-06
432;0.737169;-1.88908;32;0.739;-1.8892;0.00183077;0.000118572
433;1.69714;-2.29667;25;1.698;-2.29667;0.000860583;8.66697e-07
434;7;-2.85863;17;7.141;-3.13871;0.141;0.280078
435;5.22041;-2.19558;27;5.222;-2.19563;0.00159142;5.04207e-05
436;1.82032;-1.89943;30;7.634;-2.77089;5.81368;0.871456
437;3.58665;-3.23757;24;3.583;-3.23785;0.00364931;0.000278324
438;7;-2.22949;21;7.146;-2.66558;0.146;0.436091
439;0.780497;-1.80911;28;0.784;-1.80928;0.00350267;0.000170296
440;0.540133;-2.9286;26;0.542;-2.92872;0.00186678;0.000115429
441;1.8036;-2.15513;30;1.8;-2.15531;0.00359594;0.000176436
442;4.77334;-2.0099;32;4.768;-2.0106;0.00533826;0.000697961
443;7;-2.25247;16;7.04;-2.27336;0.04;0.0208918
444;5.03161;-2.42031;30;5.035;-2.42042;0.00338959;0.000113081
445;3.07462;-2.07086;30;9.103;-2.67561;6.02838;0.604748
446;2.1848;-2.76035;26;2.183;-2.76041;0.00180215;5.66729e-05
447;4.34928;-1.98994;32;4.353;-1.99001;0.00372092;7.42087e-05
448;3.4541;-1.97033;44;3.452;-1.97034;0.00209886;1.41638e-05
449;0.753035;-2.79747;26;0.756;-2.79769;0.00296536;0.000221021
450;4.6182;-1.89952;32;8.905;-1.91135;4.2868;0.0118253
451;1.86962;-2.34131;38;1.87;-2.34132;0.000377359;8.37652e-06
452;0.808823;-1.28748;42;7.687;-2.20074;6.87818;0.913262
453;5.33779;-1.97998;26;5.334;-1.98031;0.00379269;0.00032887
454;2.37051;-1.29594;50;9.252;-2.26026;6.88149;0.964319
455;4.01409;-2.36735;25;4.012;-2.36746;0.00208647;0.000107598
456;6.44795;-2.15073;28;6.447;-2.15075;0.00095264;1.86017e-05
457;0.226121;-1.82654;31;0.222;-1.82683;0.00412056;0.000294983
458;6.28218;-2.27535;28;6.285;-2.2756;0.00282311;0.000246331
459;5.95118;-1.83988;32;8.415;-2.07302;2.46382;0.233137
460;2.37781;-2.26133;28;2.372;-2.26183;0.00580971;0.000500221
461;6.70898;-2.88977;22;6.707;-2.88984;0.00197586;6.89117e-05
462;1.73624;-1.71551;30;8.096;-2.23905;6.35976;0.523544
463;4.18921;-2.04726;38;4.191;-2.04728;0.001791;1.51278e-05
464;0.737389;-1.87963;30;0.733;-1.87992;0.0043888;0.000289883
465;4.61739;-1.78508;62;8.853;-2.19369;4.23561;0.408614
466;2.24175;-2.02255;29;2.239;-2.02265;0.00275316;9.55424e-05
467;4.55759;-3.72718;26;4.555;-3.72742;0.00258629;0.000244854
468;4.12715;-1.97695;32;7.993;-1.98418;3.86585;0.00723002
469;0.158096;-1.76287;34;8.253;-2.25813;8.0949;0.495265
470;5.3142;-1.96096;35;5.317;-1.96112;0.0027978;0.000161726
471;1.95208;-1.84733;26;1.956;-1.84748;0.00391561;0.00014719
472;1.7481;-2.0976;36;1.748;-2.09761;9.92192e-05;9.60688e-06
473;6.42726;-2.05598;29;6.426;-2.05602;0.00125582;4.4879e-05
474;6.98348;-2.53773;18;6.985;-2.53775;0.0015222;1.95876e-05
475;2.77604;-2.4878;28;2.782;-2.48817;0.00596261;0.000374012
476;0.131408;-2.18914;29;0.132;-2.18916;0.000591986;1.99581e-05
477;1.74933;-2.07129;32;8.654;-2.33376;6.90467;0.262473
478;0.62874;-1.07874;81;9.251;-2.89024;8.62226;1.8115
479;5.62753;-1.99516;28;5.625;-1.99531;0.00252722;0.000147394
480;2.06859;-3.03435;24;2.071;-3.03453;0.00241269;0.000182443
481;0.793814;-1.54826;40;0.789;-1.54841;0.00481367;0.000145038
482;6.30761;-2.42692;34;6.316;-2.42809;0.00839406;0.00116652
483;4.20903;-1.82706;29;4.21;-1.82706;0.000966082;2.26362e-06
484;6.19496;-2.04531;36;6.191;-2.04601;0.00396184;0.000697343
485;4.8479;-2.44257;26;4.843;-2.44293;0.00490188;0.000364761
486;6.85529;-1.55666;45;7.852;-1.97596;0.996706;0.419302
487;7;-1.26767;36;7.533;-2.29279;0.533;1.02512
488;6.00593;-3.0904;34;6.007;-3.09043;0.00107358;3.22594e-05
489;5.0694;-1.69943;43;9.539;-2.47992;4.4696;0.780494
490;2.58613;-1.44106;70;7.225;-2.45371;4.63887;1.01265
491;3.75602;-2.2693;26;3.754;-2.26934;0.00201566;4.30882e-05
492;0.669822;-2.61264;27;0.673;-2.61281;0.00317763;0.000170772
493;3.26605;-1.89683;30;7.886;-2.10951;4.61995;0.21268
494;5.7298;-1.73048;30;5.731;-1.73052;0.00119934;3.96076e-05
495;6.24403;-1.59148;40;7.971;-2.75153;1.72697;1.16005
496;5.1255;-2.74817;30;5.126;-2.74816;0.000500959;7.09428e-06
497;2.60661;-2.0186;28;9.429;-2.19989;6.82239;0.181291
498;3.89434;-2.72578;28;3.897;-2.72586;0.00266299;7.98082e-05
499;5.2016;-2.04325;26;5.2;-2.0433;0.00160415;4.91138e-05
500;2.40368;-2.65502;26;2.399;-2.65529;0.00468286;0.000272921
501;6.1051;-2.24091;26;6.103;-2.24098;0.00210429;6.9833e-05
502;6.43181;-1.35475;48;9.694;-1.85101;3.26219;0.496256
503;0.672487;-1.93559;36;0.671;-1.93563;0.00148663;3.5654e-05
504;3.57831;-1.99495;32;3.578;-1.99495;0.000307372;4.47966e-06
505;2.69908;-2.16785;38;2.697;-2.16791;0.00208473;6.15302e-05
506;3.62038;-1.50865;61;9.465;-3.01108;5.84462;1.50243
507;5.82909;-1.59928;38;5.831;-1.59936;0.00190629;8.00857e-05
508;1.78;-2.51502;22;1.776;-2.51536;0.00400006;0.000337698
509;2.30483;-2.7619;38;2.309;-2.76214;0.00417142;0.000238063
510;6.88745;-2.08702;34;6.889;-2.0871;0.00154506;8.20642e-05
511;5.47646;-1.97331;30;5.482;-1.97376;0.00553537;0.00045063
512;3.68007;-2.50269;24;3.683;-2.50281;0.00292537;0.000115134
513;4.89147;-1.71412;34;8.827;-1.86182;3.93553;0.147702
514;5.60604;-1.84742;31;7.321;-2.23997;1.71496;0.392554
515;1.0232;-1.78538;38;1.018;-1.78585;0.00519571;0.000470941
516;6.25832;-2.72057;26;6.251;-2.72227;0.00731872;0.00170109
517;4.33859;-3.16421;26;4.332;-3.1657;0.00659404;0.00148769
518;1.06461;-2.19962;30;1.067;-2.19974;0.00239391;0.00012113
519;4.55031;-2.49127;25;4.554;-2.49144;0.00368941;0.000173975
520;5.15053;-2.34581;29;5.155;-2.3462;0.00447444;0.000391245
521;1.44364;-1.75794;40;8.544;-2.63189;7.10036;0.873948
522;5.64559;-2.44519;32;5.645;-2.44518;0.000587229;1.30063e-05
523;6.29615;-2.38217;32;6.3;-2.38233;0.00385293;0.000160661
524;5.65439;-2.86221;24;5.653;-2.86232;0.00139212;0.000113088
525;4.90966;-1.10165;50;8.814;-1.59896;3.90434;0.497315
526;4.8525;-2.19541;35;4.854;-2.19543;0.00149758;1.99368e-05
527;3.67489;-2.4647;28;3.678;-2.46478;0.00311148;7.54737e-05
528;6.24404;-1.96437;28;6.242;-1.96452;0.002042;0.000146781
529;6.81477;-1.98282;26;6.815;-1.98283;0.000228603;7.71039e-06
530;0.55926;-1.89051;24;7.947;-2.23071;7.38774;0.340203
531;3.57125;-1.73372;28;3.566;-1.73401;0.0052546;0.000292601
532;5.21667;-2.10865;28;5.21;-2.10982;0.00666651;0.00117062
533;4.41926;-2.75323;27;4.414;-2.7542;0.00525694;0.000974925
534;6.8656;-1.50137;34;7.286;-1.55815;0.420396;0.0567758
535;0.396942;-1.7995;30;0.398;-1.79953;0.00105843;2.9591e-05
536;6.57786;-2.43858;20;6.578;-2.43859;0.00013838;9.08088e-06
537;2.6955;-1.71614;34;2.693;-1.71617;0.00250038;2.5349e-05
538;5.20034;-1.88528;30;5.201;-1.88529;0.00066042;6.62767e-06
539;5.17742;-2.56055;20;5.174;-2.56087;0.00342324;0.000322508
540;3.99182;-2.23244;29;3.988;-2.23265;0.00381973;0.000206499
541;0.15388;-1.9077;28;0.155;-1.90774;0.00112005;4.0258e-05
542;1.51345;-1.78617;46;7.969;-2.71149;6.45555;0.925325
543;7;-1.46274;42;8.025;-1.71188;1.025;0.249138
544;3.6575;-1.77826;28;3.657;-1.77825;0.000495981;1.10695e-05
545;6.55976;-1.50722;46;8.585;-1.79333;2.02524;0.286112
546;2.2691;-1.83176;48;2.269;-1.83175;9.59733e-05;6.24439e-06
547;2.97281;-2.12561;40;7.748;-2.69575;4.77519;0.570139
548;3.81948;-2.26888;31;3.814;-2.26982;0.00547548;0.000941077
549;5.34245;-1.89928;28;7.433;-2.47299;2.09055;0.573709
550;0.0855035;-2.10021;27;0.089;-2.10042;0.00349647;0.000207101
551;2.27588;-1.6407;44;8.864;-2.5427;6.58812;0.902
552;3.12451;-2.68759;20;3.12;-2.68779;0.00450706;0.000203537
553;4.16541;-3.26805;20;4.166;-3.26805;0.00058577;2.81832e-06
554;0.399816;-2.40799;26;0.406;-2.40843;0.00618384;0.000435294
555;1.03837;-3.49008;26;1.042;-3.49062;0.00362552;0.000539993
556;6.20893;-1.74151;24;6.21;-1.74153;0.00107129;1.85353e-05
557;6.08576;-2.05468;34;6.086;-2.05469;0.000238895;1.1058e-05
558;3.49812;-2.0331;32;3.498;-2.03309;0.000121679;5.69459e-06
559;4.44316;-3.51876;20;4.446;-3.51886;0.00283952;0.000103839
560;1.94786;-2.59891;32;1.955;-2.59942;0.00714271;0.000510369
561;3.75986;-1.91693;34;7.326;-2.16136;3.56614;0.244427
562;1.67244;-1.88162;30;1.674;-1.88164;0.00155607;2.29514e-05
563;3.81859;-1.74757;30;8.859;-1.93968;5.04041;0.192106
564;2.47184;-1.46442;32;2.475;-1.46446;0.00316084;3.96587e-05
565;1.95048;-2.7267;22;1.953;-2.72681;0.00252013;0.000111057
566;4.96132;-2.89442;28;4.966;-2.8947;0.00468035;0.000278379
567;5.43555;-2.22573;32;5.434;-2.22574;0.00155332;1.4137e-05
568;4.8313;-2.85258;43;4.83;-2.85259;0.00130179;1.15049e-05
569;6.40044;-2.50094;32;6.401;-2.50095;0.000558342;6.43203e-06
570;1.355;-1.72466;57;1.351;-1.72492;0.00399655;0.000257963
571;3.3069;-2.04981;26;3.309;-2.04988;0.00210029;7.45187e-05
572;3.69893;-1.37536;38;8.664;-2.32435;4.96507;0.948992
573;6.1491;-1.72804;38;9.875;-1.77192;3.7259;0.0438759
574;3.57414;-2.25741;42;3.572;-2.25745;0.00213841;3.88555e-05
575;3.72474;-2.39391;29;3.721;-2.39401;0.00373725;0.000103201
576;6.49598;-1.96147;40;6.5;-1.96177;0.00402278;0.000295587
577;5.51667;-1.84882;24;5.519;-1.84889;0.00233251;6.99261e-05
578;1.26524;-1.73266;33;8.353;-1.98981;7.08776;0.257148
579;6.4193;-2.0049;26;6.416;-2.00516;0.0032972;0.000256988
580;6.88771;-1.81159;56;8.338;-2.08396;1.45029;0.272368
581;4.28147;-2.24578;30;4.283;-2.2458;0.00152757;1.63605e-05
582;3.76353;-1.90398;26;7.992;-2.85363;4.22847;0.949648
583;2.35718;-2.12468;34;2.353;-2.12505;0.00417798;0.000365667
584;6.11601;-2.07457;30;6.117;-2.0746;0.000990006;3.42241e-05
585;5.0504;-2.08206;28;5.049;-2.08213;0.00139735;6.87834e-05
586;6.25437;-2.75296;26;6.255;-2.75296;0.000633803;1.51855e-06
587;7;-1.49608;24;7.313;-1.5406;0.313;0.0445207
588;2.35526;-2.20707;25;2.352;-2.20719;0.00326223;0.00011573
589;5.21742;-2.30151;30;5.216;-2.30159;0.00141802;7.53349e-05
590;6.91261;-2.24177;31;6.916;-2.24194;0.00338833;0.000170114
591;2.78655;-2.04235;30;8.984;-2.06712;6.19745;0.024768
592;3.20006;-2.05375;45;3.2;-2.05375;6.04214e-05;2.17637e-06
593;4.95069;-1.48483;46;9.849;-1.81568;4.89831;0.330854
594;3.78259;-2.44247;31;3.784;-2.44253;0.00140847;6.14714e-05
595;7;-1.6717;44;7.695;-2.85225;0.695;1.18055
596;5.39382;-1.39964;46;9.024;-2.02101;3.63018;0.621373
597;4.94515;-2.18297;28;4.942;-2.18313;0.00315128;0.000160476
598;2.10812;-1.78811;35;2.108;-1.7881;0.000116724;1.466e-05
599;4.33504;-1.4091;56;9.536;-2.11115;5.20096;0.702053
600;1.06451;-2.03555;30;1.066;-2.0356;0.00149332;5.49758e-05
601;5.39136;-2.83902;28;5.392;-2.83903;0.000643171;5.63042e-06
602;7;-1.75677;24;9.38;-1.76312;2.38;0.00634735
603;4.57153;-1.90314;26;4.57;-1.90318;0.00152986;4.19628e-05
604;2.7113;-1.88679;32;2.719;-1.88771;0.0077041;0.000917022
605;5.80813;-1.63885;38;7.698;-2.06757;1.88987;0.428718
606;5.76023;-2.73618;28;5.763;-2.7364;0.00276692;0.000216118
607;6.82228;-1.99474;39;6.823;-1.99476;0.000716116;2.33813e-05
608;4.56505;-2.20342;29;4.565;-2.20342;4.97639e-05;9.27897e-07
609;4.90741;-2.77825;22;4.908;-2.77824;0.000585461;6.64714e-06
610;4.99261;-2.46526;24;4.988;-2.46551;0.00460764;0.000247725
611;6.8181;-1.41752;34;7.507;-2.18421;0.688895;0.76669
612;6.82328;-1.75777;34;6.824;-1.75776;0.000717739;5.71531e-06
613;1.40671;-2.5336;28;1.406;-2.53361;0.00071278;7.83088e-06
614;0.467001;-2.30505;23;0.466;-2.30507;0.00100096;1.95002e-05
615;0.413607;-2.77182;29;0.411;-2.7719;0.00260749;7.55962e-05
616;5.52329;-1.66426;34;9.959;-1.83566;4.43571;0.171398
617;5.65205;-2.12517;28;5.651;-2.12516;0.00104591;6.09265e-06
618;1.73863;-2.36719;27;1.742;-2.36734;0.00336573;0.000153108
619;6.24409;-1.94619;31;9.774;-2.48144;3.52991;0.535255
620;3.38188;-2.04686;28;3.385;-2.04699;0.00312352;0.000126873
621;4.73533;-2.29507;28;4.731;-2.29537;0.00433087;0.000304573
622;3.10906;-2.0848;29;3.109;-2.0848;5.92526e-05;3.87252e-06
623;0.23836;-2.24909;30;0.24;-2.24917;0.00163984;7.61886e-05
624;5.90488;-2.0694;26;5.902;-2.06956;0.00288124;0.000162507
625;5.8037;-2.36788;24;5.804;-2.36788;0.000300684;1.95729e-08
626;5.31613;-2.16173;24;5.314;-2.16181;0.00213251;7.63501e-05
627;6.95231;-1.88713;30;6.956;-1.88721;0.00369287;8.176e-05
628;5.16665;-2.84278;28;5.167;-2.84278;0.000346485;2.79558e-06
629;3.29909;-2.94745;35;3.294;-2.94763;0.00508677;0.000175979
630;6.0069;-2.6233;24;6.005;-2.62337;0.00189901;7.46715e-05
631;5.13852;-2.66367;21;5.142;-2.66397;0.00347716;0.000296422
632;3.63015;-1.97276;36;3.633;-1.97282;0.0028507;6.44074e-05
633;1.32361;-1.89293;28;1.323;-1.89293;0.000607663;1.27599e-07
634;5.91969;-1.61854;50;7.573;-3.52951;1.65331;1.91097
635;4.73936;-2.67716;26;4.741;-2.67726;0.00163708;0.000102673
636;2.74492;-2.08914;34;2.745;-2.08915;8.27548e-05;6.16828e-06
637;1.89759;-1.76364;36;9.031;-1.98808;7.13341;0.224445
638;5.78405;-2.93816;30;5.785;-2.93817;0.000951136;9.7465e-06
639;6.85331;-1.86256;30;6.853;-1.86256;0.000312504;2.47743e-06
640;1.54336;-2.51911;28;1.545;-2.51913;0.00163887;1.67305e-05
641;6.77206;-2.15737;32;6.771;-2.15737;0.00106385;2.20897e-06
642;1.06313;-1.88318;56;7.225;-2.28427;6.16187;0.401092
643;5.14948;-2.60774;25;5.145;-2.60813;0.00447804;0.000386855
644;5.8662;-1.8428;34;5.86;-1.84361;0.00619727;0.000813524
645;1.35606;-1.84952;30;1.359;-1.84961;0.00293541;9.02652e-05
646;0.808818;-1.84585;26;7.939;-1.91905;7.13018;0.0732027
647;5.64433;-2.04911;28;5.646;-2.04915;0.00166802;3.75274e-05
648;2.70726;-1.25313;98;7.344;-2.7902;4.63674;1.53707
649;3.0354;-2.11746;26;3.036;-2.11747;0.000596925;1.36427e-05
650;0.0719304;-1.71107;26;0.069;-1.7112;0.00293039;0.00012761
651;6.03244;-1.03514;66;9.862;-2.65594;3.82956;1.6208
652;2.43434;-1.78069;42;9.122;-1.8964;6.68766;0.115712
653;0.892505;-1.93505;30;0.897;-1.93532;0.00449461;0.000267835
654;2.36503;-2.11169;33;2.365;-2.11169;2.93147e-05;1.16302e-06
655;0.962641;-1.94078;36;8.435;-2.05435;7.47236;0.11357
656;5.54001;-2.09425;33;5.538;-2.09431;0.00201463;5.63538e-05
657;7;-2.82928;20;7.046;-2.90448;0.046;0.0752019
658;1.08882;-1.92276;52;9.556;-2.87441;8.46718;0.951653
659;5.85603;-1.88265;38;5.856;-1.88263;2.67623e-05;1.83757e-05
660;4.34488;-2.68607;26;4.344;-2.6861;0.000879302;2.6674e-05
661;6.34845;-2.5514;26;6.35;-2.55144;0.0015495;4.33394e-05
662;1.39429;-2.1208;42;1.395;-2.12083;0.00070624;3.30976e-05
663;2.57939;-2.67697;32;2.58;-2.67696;0.000607509;5.58813e-06
664;6.47081;-2.28212;24;7.278;-2.30638;0.807192;0.0242586
665;6.3387;-2.78278;20;6.34;-2.7828;0.0012959;1.67841e-05
666;2.47466;-2.19038;30;2.474;-2.19038;0.000657807;1.38544e-06
667;0.459652;-2.28542;29;0.458;-2.28547;0.00165177;5.14762e-05
668;1.58443;-2.12478;28;1.588;-2.12491;0.00357465;0.00012911
669;4.02355;-3.06961;27;4.026;-3.06988;0.00244562;0.000271189
670;2.78022;-2.01217;32;2.774;-2.01304;0.00622109;0.00086796
671;2.37012;-4.05523;31;2.366;-4.0554;0.00412464;0.000172873
672;5.1759;-3.27589;22;5.175;-3.2759;0.000902316;1.20019e-05
673;5.9412;-1.5357;42;8.132;-1.75886;2.1908;0.223161
674;6.23128;-1.49937;37;6.228;-1.49946;0.00328386;9.4961e-05
675;6.46094;-2.05651;24;6.463;-2.05656;0.00206455;4.82557e-05
676;0.658223;-2.82255;20;0.657;-2.82259;0.00122336;4.1273e-05
677;1.56386;-1.68213;32;7.3;-1.85879;5.73614;0.176657
678;3.44841;-2.57961;26;3.451;-2.57968;0.0025867;7.27591e-05
679;5.21476;-2.0223;30;5.219;-2.02244;0.00423507;0.00014307
680;2.09035;-3.11632;20;2.097;-3.11702;0.00665038;0.000696276
681;5.82396;-1.83461;29;8.482;-1.96954;2.65804;0.134928
682;4.94028;-2.04608;28;4.944;-2.04634;0.00372165;0.000258175
683;4.94002;-2.07999;29;4.939;-2.07998;0.00101717;7.89594e-06
684;5.36065;-2.99888;28;5.357;-2.99908;0.00365429;0.000196291
685;3.78269;-2.50116;30;3.778;-2.50161;0.00468642;0.00045352
686;6.49648;-3.53567;22;6.497;-3.53567;0.000515235;2.66697e-07
687;4.06315;-1.85998;33;4.059;-1.86014;0.00415389;0.00016119
688;2.09938;-1.94412;28;2.098;-1.94413;0.00137624;1.22124e-05
689;5.53286;-2.05357;42;5.527;-2.05393;0.005864;0.000355681
690;2.87847;-2.66315;26;2.88;-2.6632;0.00152522;4.67295e-05
691;2.84473;-2.86245;26;2.841;-2.86295;0.00372857;0.000501734
692;2.06858;-1.52754;34;2.073;-1.52766;0.00441554;0.000124289
693;3.6107;-1.76794;30;8.82;-1.849;5.2093;0.0810644
694;4.19121;-1.82743;32;4.194;-1.82753;0.00278514;0.000101941
695;1.75641;-2.85033;24;1.759;-2.85041;0.0025924;8.44332e-05
696;0.755927;-1.69694;32;0.754;-1.697;0.00192719;6.23717e-05
697;4.71651;-1.61258;35;4.718;-1.61261;0.0014876;3.28217e-05
698;0.585284;-2.12529;34;0.59;-2.12553;0.00471636;0.000236742
699;3.41449;-2.16293;44;3.416;-2.16293;0.00150837;8.57089e-07
700;1.09267;-1.86219;30;1.093;-1.86218;0.000332765;6.71919e-06
701;1.3654;-1.26197;38;8.739;-1.38351;7.3736;0.121544
702;1.36791;-2.89349;28;1.373;-2.89414;0.00508519;0.000645765
703;2.00182;-3.56962;24;2.009;-3.57061;0.00718043;0.000990823
704;0.905253;-3.08769;32;0.91;-3.08786;0.00474704;0.000165421
705;6.90742;-2.5722;26;6.905;-2.57241;0.00241784;0.000209121
706;5.30712;-1.89237;28;5.311;-1.89271;0.00388168;0.000337101
707;3.11576;-1.70704;36;3.125;-1.70805;0.00924149;0.00101259
708;0.528917;-1.66567;56;8.06;-2.15325;7.53108;0.487578
709;4.64703;-1.99364;29;4.645;-1.99372;0.00203122;8.05395e-05
710;7;-2.02063;25;8.4;-2.68372;1.4;0.663086
711;4.07055;-1.89936;28;4.063;-1.90086;0.0075527;0.00150209
712;3.7887;-3.20855;27;3.783;-3.20918;0.00570187;0.000628161
713;0.124542;-1.75143;38;7.963;-2.68274;7.83846;0.931313
714;3.64991;-2.1026;24;3.655;-2.10315;0.00509454;0.000545888
715;5.73578;-2.2217;29;5.739;-2.22189;0.00322219;0.000185863
716;0.238176;-2.00897;27;9.333;-2.33349;9.09482;0.324521
717;5.99992;-2.48833;34;5.996;-2.48847;0.00391776;0.000139039
718;1.52345;-2.23008;33;1.521;-2.23012;0.00244566;4.47165e-05
719;1.99474;-2.22405;38;1.996;-2.22404;0.00126037;1.20363e-05
720;5.39557;-2.34563;36;5.401;-2.34628;0.00542589;0.000646553
721;5.97914;-1.78766;46;8.132;-1.92797;2.15286;0.140308
722;1.43404;-2.23411;37;1.431;-2.23418;0.00304303;7.05462e-05
723;2.23098;-2.09068;27;7.443;-2.42862;5.21202;0.337944
724;4.17483;-1.89569;28;4.166;-1.89671;0.00883439;0.00101611
725;3.38686;-2.74307;26;3.385;-2.7431;0.00185772;2.50727e-05
726;4.77302;-1.86831;28;4.774;-1.86833;0.000976521;2.27401e-05
727;3.49527;-2.10616;30;3.491;-2.10638;0.00427069;0.000224462
728;2.44686;-2.39559;32;2.444;-2.3958;0.00285512;0.000213721
729;5.8887;-3.61378;22;5.881;-3.61545;0.00770464;0.001673
730;1.19247;-1.9375;36;1.195;-1.93754;0.00252892;4.14282e-05
731;4.64448;-1.69123;42;4.64;-1.69136;0.00448428;0.000134906
732;3.47441;-1.32448;48;3.475;-1.32449;0.000588189;6.67613e-06
733;3.34311;-2.02754;28;3.339;-2.02775;0.00410984;0.000214985
734;2.44126;-2.07813;31;2.439;-2.07823;0.00225581;0.00010024
735;4.05957;-2.97746;24;4.068;-2.98055;0.00843014;0.00309254
736;2.66646;-1.91181;36;2.666;-1.91182;0.000458845;1.47068e-05
737;7;-2.06889;28;7.072;-2.20259;0.072;0.133696
738;6.60916;-1.92597;45;8.971;-2.22996;2.36184;0.303994
739;4.46937;-2.36947;30;4.468;-2.36951;0.00136845;3.75294e-05
740;2.97569;-1.85041;30;7.763;-2.02113;4.78731;0.17072
