Номер ф-ции; Точка минимума; Знач ф-ции; Кол-во точек; Ист.знач.минимума; Ист.знач.ф-ции; Погрешность по x;Погрешность по f 
83;5.72656;-3.02651;31;5.722;-3.0271;0.00455996;0.000592689
84;6.14373;-2.59366;28;6.14;-2.59392;0.00372596;0.000262102
85;5.4299;-2.51398;38;5.425;-2.51458;0.00489532;0.000596986
86;5.74203;-1.7972;30;7.697;-1.98422;1.95497;0.187024
87;2.16357;-2.23386;34;2.166;-2.23391;0.00242783;5.47736e-05
88;2.6902;-2.20206;34;2.685;-2.20281;0.00519781;0.000754326
89;3.55798;-2.67354;32;3.558;-2.67355;2.36644e-05;9.94158e-06
90;2.1157;-1.86735;28;8.797;-1.87309;6.6813;0.00573855
91;6.40585;-2.18048;38;6.404;-2.1805;0.00184872;1.63431e-05
92;4.866;-2.20391;40;4.871;-2.2042;0.0050012;0.000287293
93;1.41463;-2.09229;38;1.414;-2.0923;0.000632525;5.14534e-06
94;6.3851;-3.61189;30;6.381;-3.61233;0.0040981;0.000438211
95;1.1071;-1.75322;32;1.108;-1.75324;0.000900169;1.74201e-05
96;1.51503;-1.72119;44;8.967;-1.96371;7.45197;0.24252
97;4.30674;-2.07093;42;9.123;-2.56501;4.81626;0.494077
98;3.44988;-1.16656;63;7.854;-1.49308;4.40412;0.326518
99;1.24359;-2.26226;32;1.245;-2.2623;0.00141032;3.69352e-05
100;2.54829;-2.7903;26;2.548;-2.79032;0.000292197;1.53164e-05
101;3.2548;-1.89187;32;3.255;-1.89186;0.000202575;8.53392e-06
102;5.98824;-4.58456;28;5.986;-4.5847;0.0022421;0.000136323
103;1.65599;-1.27318;42;7.967;-2.15234;6.31101;0.879156
104;2.02906;-2.27087;32;2.029;-2.27088;5.89167e-05;1.00026e-05
105;6.55748;-1.39487;48;7.983;-1.8035;1.42552;0.40863
106;0.725989;-2.42821;32;0.721;-2.42863;0.00498906;0.00042206
107;6.94803;-2.28171;24;6.947;-2.28173;0.00102674;1.81544e-05
108;7;-1.32902;54;8.227;-2.75481;1.227;1.42579
109;2.97628;-1.8414;36;8.923;-1.95482;5.94672;0.113417
110;6.46374;-1.82235;32;6.46;-1.82247;0.00373916;0.000123485
111;3.51238;-2.10305;30;3.514;-2.10315;0.00161537;0.000104108
112;3.88624;-1.89281;34;3.883;-1.89306;0.00323645;0.000249565
113;3.75013;-1.98395;28;3.75;-1.98395;0.000134392;4.89592e-06
114;4.4608;-1.42957;47;9.888;-1.46281;5.4272;0.0332351
115;0.941026;-3.32811;28;0.944;-3.3283;0.00297422;0.000193519
116;1.14148;-2.55676;26;1.137;-2.55725;0.00447873;0.000491167
117;4.45831;-2.01726;51;7.147;-2.29451;2.68869;0.277245
118;2.27657;-1.91086;39;2.281;-1.91119;0.00443122;0.000325878
119;5.15728;-2.39943;24;5.157;-2.39943;0.000275195;4.6989e-06
120;6.6082;-3.22576;24;6.605;-3.22599;0.00319655;0.00022732
